	condition	participant	evaluation	redcube_mean	redcube_std	redcube_N	greencube_mean	greencube_std	greencube_N	bluecube_mean	bluecube_std	bluecube_N	bonus_mean	bonus_std	bonus_N	penalty_mean	penalty_std	penalty_N	lastcube_mean	lastcube_std	lastcube_N	overalltime_mean	overalltime_std	overalltime_N	boxestouched_mean	boxestouched_std	boxestouched_N	edgetouches_mean	edgetouches_std	edgetouches_N	distance_mean	distance_std	distance_N	taskcomplete_mean	taskcomplete_std	taskcomplete_N	removedcubes_mean	removedcubes_std	removedcubes_N	fallofftime_mean	fallofftime_std	fallofftime_N	lastmovedtime_mean	lastmovedtime_std	lastmovedtime_N	timeout_mean	timeout_std	timout_N	firstcube_mean	firstcube_std	firstcube_N	secondcube_mean	secondcube_std	secondcube_N	thirdcube_mean	thirdcube_std	thirdcube_N	firstcube_median	secondcube_median	thirdcube_median	lastcube_median	overalltime_median	boxestouched_median	edgetouches_median	distance_median	fallofftime_median	lastmovedtime_median	tests	keystrokes	searchmethod
0	1.0	41.0	1.0	84.96	74.34	73.0	97.4	98.03	52.0	89.46	80.31	51.0	6.36	4.83	99.0	2.63	4.86	99.0	157.37	113.76	14.0	156.66	116.88	14.0	7.57	2.38	14.0	12.07	5.36	14.0	3773.82	934.37	14.0	0.14	0.35	99.0	1.78	0.68	99.0			0.0	357.63	91.8	99.0	0.86	0.35	99.0	64.54	65.7	99.0	114.86	85.89	63.0	157.37	113.76	14.0	36.5	168.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	389.9	48.0	2858.0	2.0
1	1.0	41.0	2.0	169.37	127.6	50.0	154.25	121.48	62.0	151.98	121.69	62.0	4.14	4.95	99.0	2.53	5.22	99.0	265.1	112.96	29.0	264.76	114.34	29.0	13.79	4.2	29.0	28.76	11.67	29.0	10143.17	3661.19	29.0	0.29	0.46	99.0	1.76	1.03	99.0			0.0	356.58	85.48	99.0	0.71	0.46	99.0	92.13	91.07	85.0	198.94	113.11	60.0	265.1	112.96	29.0	76.1	321.3	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	393.7	7.0	116.0	2.0
2	1.0	41.0	3.0	113.78	91.99	98.0	128.88	96.87	95.0	111.4	86.49	95.0	8.69	3.39	99.0	9.39	8.31	99.0	196.87	85.19	90.0	197.87	85.87	90.0	16.78	6.49	90.0	64.64	30.73	90.0	15565.05	6394.18	90.0	0.91	0.29	99.0	2.91	0.29	99.0			0.0	215.23	100.1	99.0	0.09	0.29	99.0	51.11	53.02	99.0	113.12	71.2	99.0	196.87	85.19	90.0	37.0	100.0	183.7	183.7	191.9	17.0	63.0	14721.48	500.0	183.7	4.0	177.0	3.0
3	1.0	41.0	4.0	106.35	85.17	96.0	130.89	97.04	92.0	113.69	92.71	97.0	8.79	3.28	99.0	9.6	8.2	99.0	197.97	88.69	87.0	199.46	89.8	87.0	17.95	8.13	87.0	64.26	31.67	87.0	15601.4	6732.99	87.0	0.88	0.33	99.0	2.88	0.33	99.0			0.0	222.33	106.25	99.0	0.12	0.33	99.0	46.81	40.62	99.0	115.36	71.75	99.0	197.97	88.69	87.0	35.4	98.9	206.6	206.6	215.9	18.0	67.0	16567.89	500.0	206.6	3.0	448.0	3.0
4	1.0	41.0	5.0	154.19	124.47	93.0	75.55	109.92	77.0	131.17	117.25	92.0	6.46	4.8	99.0	7.17	8.46	99.0	211.13	120.9	67.0	212.92	120.67	67.0	24.12	18.34	67.0	45.4	28.26	67.0	33902.64	20544.44	67.0	0.68	0.47	99.0	2.65	0.54	99.0			0.0	272.05	133.15	99.0	0.32	0.47	99.0	47.93	74.63	99.0	138.9	114.77	96.0	211.13	120.9	67.0	19.7	99.4	312.6	312.6	315.6	32.0	72.0	52297.89	500.0	312.2	5.0	197.0	2.0
5	0.0	42.0	1.0	14.05	4.01	14.0	12.9	4.05	4.0	14.95	3.69	45.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.64	0.5	99.0	21.52	3.68	99.0	21.53	3.68	99.0	0.0	0.0	99.0	14.6	3.79	62.0	15.8		1.0			0.0	17.8	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	21.11	21.1	0.0	2591.0	1.0
6	0.0	42.0	2.0	13.48	3.98	9.0	13.02	4.01	4.0	15.84	3.77	23.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.36	0.5	99.0	21.48	4.0	41.0	70.42	126.21	99.0	0.59	0.5	99.0	14.91	3.98	35.0	15.9		1.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	18.2	2.0	185.0	1.0
7	0.0	42.0	3.0	78.92	46.65	91.0	76.47	31.43	88.0	31.35	30.8	96.0	0.0	0.0	99.0	0.0	0.0	99.0	107.73	32.33	86.0	107.73	32.33	86.0	16.55	5.93	86.0	8.8	3.74	86.0	3957.53	996.29	86.0	0.87	0.34	99.0	2.78	0.65	99.0	87.34	23.15	3.0	136.25	93.06	99.0	0.1	0.3	99.0	18.13	11.98	96.0	63.62	20.65	93.0	107.73	32.33	86.0	13.5	61.6	105.0	105.0	105.0	17.0	9.0	3964.38	500.0	104.7	3.0	217.0	1.0
8	0.0	42.0	4.0	72.15	53.5	92.0	68.98	43.05	88.0	32.7	34.45	95.0	0.1	1.01	99.0	0.0	0.0	99.0	101.79	45.61	86.0	101.68	45.72	86.0	13.63	5.76	86.0	7.3	4.17	86.0	4297.12	2038.25	86.0	0.87	0.34	99.0	2.78	0.65	99.0	81.55	34.13	4.0	127.78	96.13	99.0	0.09	0.29	99.0	18.26	12.05	96.0	57.08	35.48	93.0	101.79	45.61	86.0	13.5	47.5	96.5	96.5	96.5	14.0	7.0	4185.88	500.0	95.3	0.0	188.0	1.0
9	0.0	42.0	5.0	72.22	53.79	91.0	69.36	43.15	87.0	32.95	34.55	94.0	4.44	5.57	99.0	6.87	6.49	99.0	102.21	45.72	85.0	104.68	45.36	85.0	13.72	5.73	85.0	7.35	4.17	85.0	4312.64	2045.23	85.0	0.86	0.35	99.0	2.75	0.7	99.0	81.55	34.13	4.0	131.12	99.65	99.0	0.1	0.3	99.0	18.35	12.08	95.0	57.3	35.61	92.0	102.21	45.72	85.0	13.9	48.0	101.9	101.9	101.9	14.0	7.0	4222.8	500.0	95.5	0.0	313.0	1.0
10	1.0	43.0	1.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0	0.0	0.0	99.0	1.0	0.0	99.0			0.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	20.0	1533.0	1.0
11	1.0	43.0	2.0	161.57	137.85	21.0	96.03	110.75	22.0	169.48	123.3	33.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.77	0.53	99.0			0.0	153.96	149.86	99.0	1.0	0.0	99.0	143.82	124.73	71.0	177.56	164.36	5.0			0.0	219.3	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	127.9	2.0	78.0	1.0
12	1.0	43.0	3.0	15.48	11.0	39.0	14.66	7.06	26.0	9.89	7.35	51.0	0.0	0.0	99.0	0.0	0.0	99.0	30.19	7.07	13.0	30.19	7.07	13.0	10.54	4.68	13.0	3.46	1.66	13.0	2162.1	279.6	13.0	0.13	0.34	99.0	1.17	0.87	99.0			0.0	10.61	10.3	99.0	0.87	0.34	99.0	8.18	4.18	82.0	20.3	4.87	21.0	30.19	7.07	13.0	7.8	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	7.1	3.0	176.0	1.0
13	1.0	43.0	4.0	3.3	0.49	5.0	3.71	0.83	7.0	3.4	0.89	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	5.55	0.8	26.0	1.46	2.48	99.0	0.74	0.44	99.0	3.5	0.75	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	0.0	4.0	31.0	1.0
14	1.0	43.0	5.0	3.3	0.49	5.0	3.71	0.83	7.0	3.4	0.89	5.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.17	0.38	99.0	4.19	1.32	99.0	4.19	1.32	99.0	0.0	0.0	99.0	3.5	0.75	17.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	4.28	4.3	2.0	126.0	1.0
